Region,Scenario,Variable,Year,scengroup,IMACLIM,IMAGE,WITCH,maxwacc,minwacc
Africa,CoC-reference,Offshore,2095,NDC,0.0681999999999983,0.07941618895388781,0.0745855205172208,0.07941618895388781,0.0681999999999983
Africa,CoC-reference,Offshore,2100,NDC,0.06769999999999832,0.07883688919498463,0.073152035550780925,0.07883688919498463,0.06769999999999832
Africa,CoC-reference,Nuclear,2020,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2025,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2030,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2035,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2040,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2045,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2050,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2055,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2060,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2065,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2070,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2075,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2080,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2085,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2090,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2095,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,Nuclear,2100,NDC,0.0887299999999977,0.09063467101172487,0.08822382490285564,0.09063467101172487,0.08822382490285564
Africa,CoC-reference,CCS,2020,NDC,0.09202999999999772,0.09353697969081588,0.09167852490285565,0.09353697969081588,0.09167852490285565
Africa,CoC-reference,CCS,2025,NDC,0.09200999999999773,0.09334945435488734,0.09167852490285565,0.09334945435488734,0.09167852490285565
Africa,CoC-reference,CCS,2030,NDC,0.09193999999999773,0.09332609374635628,0.09167852490285565,0.09332609374635628,0.09167852490285565
Africa,CoC-reference,CCS,2035,NDC,0.09186999999999773,0.0932292369344461,0.09167852490285565,0.0932292369344461,0.09167852490285565
Africa,CoC-reference,CCS,2040,NDC,0.09179999999999773,0.0928793185751655,0.09167852490285565,0.0928793185751655,0.09167852490285565
Africa,CoC-reference,CCS,2045,NDC,0.09173999999999773,0.09206960883717968,0.09167852490285565,0.09206960883717968,0.09167852490285565
Africa,CoC-reference,CCS,2050,NDC,0.09165999999999774,0.09022229613189074,0.09167852490285565,0.09167852490285565,0.09022229613189074
Africa,CoC-reference,CCS,2055,NDC,0.09158999999999774,0.08805895255015105,0.09167852490285565,0.09167852490285565,0.08805895255015105
Africa,CoC-reference,CCS,2060,NDC,0.09152999999999774,0.08641441958155213,0.09167852490285565,0.09167852490285565,0.08641441958155213
Africa,CoC-reference,CCS,2065,NDC,0.09146999999999773,0.0852563077738359,0.09167852490285565,0.09167852490285565,0.0852563077738359
Africa,CoC-reference,CCS,2070,NDC,0.09138999999999774,0.08452048452865163,0.09167852490285565,0.09167852490285565,0.08452048452865163
Africa,CoC-reference,CCS,2075,NDC,0.09127999999999775,0.08389844703836725,0.09167852490285565,0.09167852490285565,0.08389844703836725
Africa,CoC-reference,CCS,2080,NDC,0.09116999999999777,0.08346678523586545,0.09167852490285565,0.09167852490285565,0.08346678523586545
Africa,CoC-reference,CCS,2085,NDC,0.09104999999999776,0.08307345683114167,0.09167852490285565,0.09167852490285565,0.08307345683114167
Africa,CoC-reference,CCS,2090,NDC,0.09091999999999775,0.08281997554173788,0.09167852490285565,0.09167852490285565,0.08281997554173788
Africa,CoC-reference,CCS,2095,NDC,0.09079999999999776,0.0826447912482127,0.09167852490285565,0.09167852490285565,0.0826447912482127
Africa,CoC-reference,CCS,2100,NDC,0.09068999999999776,0.08240656023744475,0.09167852490285565,0.09167852490285565,0.08240656023744475
Africa,CoC-reference,Coal,2020,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2025,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2030,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2035,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2040,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2045,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2050,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2055,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2060,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2065,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2070,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2075,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2080,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2085,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2090,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2095,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Coal,2100,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Gas,2020,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2025,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2030,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2035,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2040,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2045,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2050,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2055,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2060,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2065,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2070,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2075,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2080,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2085,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2090,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2095,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Gas,2100,NDC,0.07011999999999773,0.07222737005471391,0.06981652490285564,0.07222737005471391,0.06981652490285564
Africa,CoC-reference,Solar,2020,NDC,0.09345999999999723,0.09301922503384881,0.09417549255667018,0.09417549255667018,0.09301922503384881
Africa,CoC-reference,Solar,2025,NDC,0.0875899999999974,0.08990171247881819,0.09210461458444205,0.09210461458444205,0.0875899999999974
Africa,CoC-reference,Solar,2030,NDC,0.08501999999999749,0.08359072484657065,0.08925796590156558,0.08925796590156558,0.08359072484657065
Africa,CoC-reference,Solar,2035,NDC,0.08361999999999752,0.08057442721856653,0.08526352122944576,0.08526352122944576,0.08057442721856653
Africa,CoC-reference,Solar,2040,NDC,0.08210999999999756,0.0784139477102966,0.08223783161438071,0.08223783161438071,0.0784139477102966
Africa,CoC-reference,Solar,2045,NDC,0.0806199999999976,0.07648436844797922,0.07984036337569868,0.0806199999999976,0.07648436844797922
Africa,CoC-reference,Solar,2050,NDC,0.07938999999999764,0.07439713820170848,0.07845981725578247,0.07938999999999764,0.07439713820170848
Africa,CoC-reference,Solar,2055,NDC,0.07835999999999767,0.07201519283104836,0.0775577834443758,0.07835999999999767,0.07201519283104836
Africa,CoC-reference,Solar,2060,NDC,0.0774499999999977,0.06930514406696632,0.0767444141694102,0.0774499999999977,0.06930514406696632
Africa,CoC-reference,Solar,2065,NDC,0.07662999999999773,0.06671549928670843,0.07592126228118168,0.07662999999999773,0.06671549928670843
Africa,CoC-reference,Solar,2070,NDC,0.07587999999999775,0.06490370300330928,0.07481881872941601,0.07587999999999775,0.06490370300330928
Africa,CoC-reference,Solar,2075,NDC,0.07517999999999776,0.0635223573912747,0.07318830387652536,0.07517999999999776,0.0635223573912747
Africa,CoC-reference,Solar,2080,NDC,0.07452999999999778,0.062382850933945355,0.07117203026324345,0.07452999999999778,0.062382850933945355
Africa,CoC-reference,Solar,2085,NDC,0.0739199999999978,0.06147937804427667,0.06833300162297096,0.0739199999999978,0.06147937804427667
Africa,CoC-reference,Solar,2090,NDC,0.07335999999999783,0.06066394810301902,0.06800155682032898,0.07335999999999783,0.06066394810301902
Africa,CoC-reference,Solar,2095,NDC,0.07283999999999784,0.059737796707883935,0.06764146279668677,0.07283999999999784,0.059737796707883935
Africa,CoC-reference,Solar,2100,NDC,0.07233999999999785,0.05886762176518284,0.06710545018264429,0.07233999999999785,0.05886762176518284
Africa,CoC-reference,Hydro,2020,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2025,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2030,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2035,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2040,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2045,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2050,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2055,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2060,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2065,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2070,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2075,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2080,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2085,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2090,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2095,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Hydro,2100,NDC,0.08072999999999776,0.08275157101172488,0.08034072490285564,0.08275157101172488,0.08034072490285564
Africa,CoC-reference,Biomass,2020,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2025,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2030,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2035,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2040,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2045,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2050,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2055,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2060,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2065,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2070,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2075,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2080,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2085,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2090,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2095,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-reference,Biomass,2100,NDC,0.09202999999999772,0.09408936865087338,0.09167852490285565,0.09408936865087338,0.09167852490285565
Africa,CoC-convergence,Onshore,2020,NDC,0.09590999999999697,0.0976581236835774,0.09491187117794872,0.0976581236835774,0.09491187117794872
Africa,CoC-convergence,Onshore,2025,NDC,0.08456999999999759,0.08533621828255744,0.09339840020908916,0.09339840020908916,0.08456999999999759
Africa,CoC-convergence,Onshore,2030,NDC,0.07447999999999813,0.07278126635767676,0.09194870859078606,0.09194870859078606,0.07278126635767676
Africa,CoC-convergence,Onshore,2035,NDC,0.06550999999999862,0.06162989011873402,0.07993522768970236,0.07993522768970236,0.06162989011873402
Africa,CoC-convergence,Onshore,2040,NDC,0.057329999999999104,0.052647089619157136,0.06861788883186454,0.06861788883186454,0.052647089619157136
Africa,CoC-convergence,Onshore,2045,NDC,0.04948999999999956,0.04414997442348791,0.05751035543633135,0.05751035543633135,0.04414997442348791
Africa,CoC-convergence,Onshore,2050,NDC,0.04197,0.03629355288810236,0.046565958828281025,0.046565958828281025,0.03629355288810236
Africa,CoC-convergence,Onshore,2055,NDC,0.04136,0.035064497721564884,0.04631635697124219,0.04631635697124219,0.035064497721564884
Africa,CoC-convergence,Onshore,2060,NDC,0.04086,0.03406571310879404,0.046082647236595393,0.046082647236595393,0.03406571310879404
Africa,CoC-convergence,Onshore,2065,NDC,0.04042,0.033328255465343196,0.045860934877501806,0.045860934877501806,0.033328255465343196
Africa,CoC-convergence,Onshore,2070,NDC,0.040010000000000004,0.03259892851888427,0.045646548147150856,0.045646548147150856,0.03259892851888427
Africa,CoC-convergence,Onshore,2075,NDC,0.03963,0.03190702922182836,0.04544173611771242,0.04544173611771242,0.03190702922182836
Africa,CoC-convergence,Onshore,2080,NDC,0.03928,0.03140081275352892,0.045247781949219586,0.045247781949219586,0.03140081275352892
Africa,CoC-convergence,Onshore,2085,NDC,0.03897,0.030904936460545623,0.045064180233883096,0.045064180233883096,0.030904936460545623
Africa,CoC-convergence,Onshore,2090,NDC,0.03867,0.030524851150129324,0.04489036344596428,0.04489036344596428,0.030524851150129324
Africa,CoC-convergence,Onshore,2095,NDC,0.03839,0.030173705885190104,0.044725870864315675,0.044725870864315675,0.030173705885190104
Africa,CoC-convergence,Onshore,2100,NDC,0.038130000000000004,0.02985047897560114,0.0445701790447094,0.0445701790447094,0.02985047897560114
Africa,CoC-convergence,Offshore,2020,NDC,0.10179999999999748,0.10214819729568667,0.10222648927313899,0.10222648927313899,0.10179999999999748
Africa,CoC-convergence,Offshore,2025,NDC,0.08682999999999809,0.09589847397254907,0.09259763453407581,0.09589847397254907,0.08682999999999809
Africa,CoC-convergence,Offshore,2030,NDC,0.07445999999999858,0.08622451508562476,0.0910860933691106,0.0910860933691106,0.07445999999999858
Africa,CoC-convergence,Offshore,2035,NDC,0.065529999999999,0.076827901097241,0.08032691391932258,0.08032691391932258,0.065529999999999
Africa,CoC-convergence,Offshore,2040,NDC,0.05870999999999935,0.06832774803931399,0.07037527486864277,0.07037527486864277,0.05870999999999935
Africa,CoC-convergence,Offshore,2045,NDC,0.05249999999999968,0.06058151293466239,0.061234429018644725,0.061234429018644725,0.05249999999999968
Africa,CoC-convergence,Offshore,2050,NDC,0.04662,0.05359757,0.05239798819663698,0.05359757,0.04662
Africa,CoC-convergence,Offshore,2055,NDC,0.04579,0.05269672,0.05179773480568356,0.05269672,0.04579
Africa,CoC-convergence,Offshore,2060,NDC,0.045149999999999996,0.05186075,0.0512951638736036,0.05186075,0.045149999999999996
Africa,CoC-convergence,Offshore,2065,NDC,0.04458,0.05111984,0.050810298277129406,0.05111984,0.04458
Africa,CoC-convergence,Offshore,2070,NDC,0.04408,0.05047119,0.05034060003215864,0.05047119,0.04408
Africa,CoC-convergence,Offshore,2075,NDC,0.043609999999999996,0.04990827,0.04923227622585377,0.04990827,0.043609999999999996
Africa,CoC-convergence,Offshore,2080,NDC,0.0432,0.049352,0.04693718393550916,0.049352,0.0432
Africa,CoC-convergence,Offshore,2085,NDC,0.04282,0.04884342,0.04665143879396324,0.04884342,0.04282
